pid	ppid	pgid	rss	command
1	0	1	22416	/sbin/launchd
373	1732	373	17488	/usr/bin/perl /Applications/DockDoor.app/Contents/Resources/MediaRemoteAdapter_MediaRemoteAdapter.bundle/Contents/Resources/run.pl /Applications/DockDoor.app/Contents/Frameworks/MediaRemoteAdapter.framework/MediaRemoteAdapter loop
541	1	541	27456	/usr/libexec/logd
543	1	543	11824	/usr/libexec/UserEventAgent (System)
545	1	545	9104	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
546	1	546	11568	/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
549	1	549	9600	/usr/sbin/systemstats --daemon
553	1	553	6688	/usr/libexec/configd
555	1	555	8832	/System/Library/CoreServices/powerd.bundle/powerd
556	1	556	1984	/usr/libexec/IOMFB_bics_daemon
560	1	560	4096	/usr/libexec/remoted
564	1	564	1936	/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
566	1	566	3168	/usr/libexec/watchdogd
570	1	570	25760	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
572	1	572	4304	/usr/libexec/kernelmanagerd
573	1	573	5408	/usr/libexec/diskarbitrationd
577	1	577	1888	/usr/sbin/syslogd
579	1	579	4384	/usr/libexec/thermalmonitord
580	1	580	11712	/System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
581	1	581	3392	/usr/libexec/xprotectd
582	1	582	14336	/usr/libexec/opendirectoryd
583	1	583	13360	/System/Library/PrivateFrameworks/ApplePushService.framework/apsd
584	1	584	13360	/System/Library/CoreServices/launchservicesd
585	1	585	4864	/usr/libexec/timed
586	1	586	3024	/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
587	1	587	7936	/usr/sbin/securityd -i
589	1	589	19168	/usr/libexec/locationd
590	1	590	6160	/usr/libexec/nesessionmanager
592	1	592	2112	autofsd
593	1	593	19376	/usr/libexec/dasd
