pid	ppid	pgid	rss	command
1	0	1	23728	/sbin/launchd
373	1732	373	17440	/usr/bin/perl /Applications/DockDoor.app/Contents/Resources/MediaRemoteAdapter_MediaRemoteAdapter.bundle/Contents/Resources/run.pl /Applications/DockDoor.app/Contents/Frameworks/MediaRemoteAdapter.framework/MediaRemoteAdapter loop
541	1	541	39808	/usr/libexec/logd
543	1	543	12960	/usr/libexec/UserEventAgent (System)
545	1	545	8480	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
546	1	546	12400	/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
549	1	549	10576	/usr/sbin/systemstats --daemon
553	1	553	7360	/usr/libexec/configd
555	1	555	9312	/System/Library/CoreServices/powerd.bundle/powerd
556	1	556	1984	/usr/libexec/IOMFB_bics_daemon
560	1	560	4064	/usr/libexec/remoted
564	1	564	1936	/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
566	1	566	3184	/usr/libexec/watchdogd
570	1	570	29248	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
572	1	572	4912	/usr/libexec/kernelmanagerd
573	1	573	5408	/usr/libexec/diskarbitrationd
577	1	577	1952	/usr/sbin/syslogd
579	1	579	4896	/usr/libexec/thermalmonitord
580	1	580	12096	/System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
581	1	581	4656	/usr/libexec/xprotectd
582	1	582	15568	/usr/libexec/opendirectoryd
583	1	583	15888	/System/Library/PrivateFrameworks/ApplePushService.framework/apsd
584	1	584	13040	/System/Library/CoreServices/launchservicesd
585	1	585	6448	/usr/libexec/timed
586	1	586	3024	/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
587	1	587	8016	/usr/sbin/securityd -i
589	1	589	19552	/usr/libexec/locationd
590	1	590	6752	/usr/libexec/nesessionmanager
592	1	592	2112	autofsd
593	1	593	21408	/usr/libexec/dasd
595	1	595	3712	/usr/libexec/corerepaird
597	1	597	3728	/usr/sbin/distnoted daemon
601	1	601	4304	/System/Library/CoreServices/logind
602	1	602	4464	/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
603	1	603	1456	/usr/sbin/KernelEventAgent
607	1	607	21824	/usr/sbin/bluetoothd
608	1	608	4832	/usr/sbin/notifyd
610	1	610	9520	/usr/libexec/corebrightnessd --launchd
611	1	611	7840	/usr/libexec/AirPlayXPCHelper
612	1	612	10544	/System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
615	1	615	15680	/System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
616	1	616	6176	/usr/sbin/cfprefsd daemon
617	1	617	86016	/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
618	1	618	11472	/usr/libexec/fskitd
620	1	620	4800	/System/Library/CoreServices/coreservicesd
621	1	621	112528	/System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
